الشركة,المستودع,الصنف,الوصف,تاريخ القيد,تاريخ النظام,نوع الحركة,رقم الحركة,رقم سند متصل,الكمية,الرصيد,Column1
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,12/31/2025,1/1/2026,رصيد افتتاحي,,,17532,17532,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/11/2026,1/11/2026,تسليم,26000064,,-216,17316,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/13/2026,1/13/2026,تسليم,26000095,,-22,17294,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/13/2026,1/13/2026,تسليم,26000097,,-22,17272,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/13/2026,1/13/2026,تسليم,26000097,,-2,17270,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/13/2026,1/13/2026,تسليم,26000095,,-2,17268,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/14/2026,1/14/2026,تسليم,26000130,,-216,17052,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/14/2026,1/14/2026,تسليم,26000126,,-3,17049,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/14/2026,1/14/2026,تسليم,26000128,,-6,17043,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/14/2026,1/14/2026,تسليم,26000129,,-72,16971,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/14/2026,1/14/2026,تسليم,26000129,,-72,16899,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/14/2026,1/14/2026,تسليم,26000126,,-33,16866,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/14/2026,1/14/2026,تسليم,26000128,,-66,16800,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/14/2026,1/14/2026,تسليم,26000130,,-36,16764,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/15/2026,1/15/2026,تسليم,26000139,,-3,16761,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/15/2026,1/15/2026,تسليم,26000139,,-33,16728,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/18/2026,1/18/2026,تسليم,26000156,,-33,16695,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/18/2026,1/18/2026,تسليم,26000247,,-6,16689,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/18/2026,1/18/2026,تسليم,26000247,,-66,16623,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/18/2026,1/18/2026,تسليم,26000248,,-66,16557,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/18/2026,1/18/2026,تسليم,26000156,,-3,16554,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/18/2026,1/18/2026,تسليم,26000248,,-6,16548,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/18/2026,1/18/2026,تسليم,26000151,,-72,16476,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/18/2026,1/18/2026,تسليم,26000151,,-720,15756,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/19/2026,1/19/2026,تسليم,26000251,,-22,15734,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/19/2026,1/19/2026,تسليم,26000251,,-2,15732,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/19/2026,1/19/2026,تسليم,26000193,,-6,15726,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/19/2026,1/19/2026,تسليم,26000193,,-66,15660,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/21/2026,1/21/2026,تسليم,26000244,,-360,15300,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/21/2026,1/21/2026,تسليم,26000255,,-360,14940,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/21/2026,1/21/2026,تسليم,26000254,,-360,14580,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/21/2026,1/21/2026,تسليم,26000253,,-360,14220,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/21/2026,1/21/2026,تسليم,26000243,,-144,14076,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/21/2026,1/21/2026,تسليم,26000215,,-360,13716,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/22/2026,1/22/2026,تسليم,26000236,,-144,13572,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/22/2026,1/22/2026,تسليم,26000237,,-33,13539,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/22/2026,1/22/2026,تسليم,26000237,,-3,13536,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/25/2026,1/25/2026,تحويل خروج,26000001,MOHWH,-576,12960,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/26/2026,1/26/2026,مرتجع بيع,26000069,,216,13176,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/26/2026,1/26/2026,تسليم,26000280,,-66,13110,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/26/2026,1/26/2026,تسليم,26000276,,-216,12894,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/26/2026,1/26/2026,تسليم,26000289,,-144,12750,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/26/2026,1/26/2026,تسليم,26000280,,-6,12744,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/26/2026,1/26/2026,تسليم,26000275,,-216,12528,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/27/2026,1/27/2026,تسليم,26000292,,-22,12506,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/27/2026,1/27/2026,تسليم,26000292,,-2,12504,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/27/2026,1/27/2026,تسليم,26000294,,-33,12471,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/27/2026,1/27/2026,تسليم,26000294,,-3,12468,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/28/2026,1/28/2026,تسليم,26000323,,-3,12465,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/28/2026,1/28/2026,تسليم,26000323,,-33,12432,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/29/2026,1/29/2026,تسليم,26000342,,-2,12430,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,1/31/2026,1/31/2026,تسليم,26000351,,-12,12418,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/1/2026,2/1/2026,تسليم,26000379,,-3,12415,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/1/2026,2/1/2026,تسليم,26000379,,-33,12382,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/1/2026,2/1/2026,تسليم,26000383,,-33,12349,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/1/2026,2/1/2026,تسليم,26000384,,-33,12316,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/1/2026,2/1/2026,تسليم,26000381,,-6,12310,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/1/2026,2/1/2026,تسليم,26000384,,-3,12307,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/1/2026,2/1/2026,تسليم,26000381,,-66,12241,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/1/2026,2/1/2026,تسليم,26000375,,-144,12097,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/1/2026,2/1/2026,تسليم,26000383,,-3,12094,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/1/2026,2/1/2026,تسليم,26000370,,-66,12028,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/1/2026,2/1/2026,تسليم,26000370,,-6,12022,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/3/2026,2/3/2026,تسليم,26000410,,-33,11989,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/3/2026,2/3/2026,تسليم,26000402,,-1800,10189,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/3/2026,2/3/2026,تسليم,26000401,,1800,11989,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/3/2026,2/3/2026,تسليم,26000403,,-1800,10189,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/3/2026,2/3/2026,مرتجع بيع,26000107,,12,10201,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/3/2026,2/3/2026,تسليم,26000425,,-12,10189,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/3/2026,2/3/2026,تسليم,26000418,,-6,10183,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/3/2026,2/3/2026,تسليم,26000410,,-3,10180,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/3/2026,2/3/2026,تسليم,26000418,,-66,10114,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/3/2026,2/3/2026,تسليم,26000400,,-1800,8314,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/3/2026,2/3/2026,تسليم,26000397,,-72,8242,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/3/2026,2/3/2026,تسليم,26000397,,-72,8170,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/3/2026,2/3/2026,مرتجع بيع,26000106,,1800,9970,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/3/2026,2/3/2026,تسليم,26000399,,-1800,8170,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/4/2026,2/4/2026,تسليم,26000434,,-2160,6010,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/5/2026,2/5/2026,تسليم,26000455,,-1080,4930,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/8/2026,2/8/2026,تسليم,26000504,,-216,4714,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/10/2026,2/10/2026,تحويل خروج,26000008,101,-144,4570,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/15/2026,2/15/2026,تسليم,26000612,,-72,4498,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/15/2026,2/15/2026,تسليم,26000637,,-33,4465,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/15/2026,2/15/2026,تسليم,26000614,,-72,4393,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/15/2026,2/15/2026,تسليم,26000637,,-3,4390,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/15/2026,2/15/2026,تسليم,26000614,,-72,4318,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/15/2026,2/15/2026,تسليم,26000639,,-504,3814,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/15/2026,2/15/2026,تسليم,26000612,,-144,3670,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/16/2026,2/16/2026,تسليم,26000674,,-11,3659,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/16/2026,2/16/2026,تسليم,26000672,,-6,3653,
SHK,FGWH,1031001,شيخ الكار شوربة 55 غم خضار 1*12*6,2/16/2026,2/16/2026,تسليم,26000672,,-66,3587,
