الشركة,الصنف,الوصف,رمز المستودع,اسم المستودع,الرصيد,قيمة المخزون,كلفة الوحدة,سعر البيع,الربح,هامش الربح,Column1
SHK,1151111,شيخ الكار بيض طازج 1920 غم فأكثر 1*1,FGWH,مستودع البضاعة الجاهزة,1312,2848.623,2.057643646,0,-2.057643646,#DIV/0!,#N/A
SHK,1151111,شيخ الكار بيض طازج 1920 غم فأكثر 1*1,112,مستودع الموقر تجاري,3032,6089.781,2.057643646,0,-2.057643646,#DIV/0!,#N/A
SHK,1151100,قشطة قرشلة وكعك بأنواعه محلى او سادة 1 كغم,FGWH,مستودع البضاعة الجاهزة,2402.5,3406.627,1.387766717,0,-1.387766717,#DIV/0!,#N/A
SHK,1151100,قشطة قرشلة وكعك بأنواعه محلى او سادة 1 كغم,112,مستودع الموقر تجاري,1254,1667.742,1.387766717,0,-1.387766717,#DIV/0!,#N/A
SHK,1151066,قشطة خبز شراك,FGWH,مستودع البضاعة الجاهزة,3632,471.9,0.129966718,0,-0.129966718,#DIV/0!,#N/A
SHK,1151066,قشطة خبز شراك,112,مستودع الموقر تجاري,4180,543.4,0.129966718,0,-0.129966718,#DIV/0!,#N/A
SHK,1151116,لويال سائل لغسيل الايدي 500 ملم *1,FGWH,مستودع البضاعة الجاهزة,3022,1972.907,0.674652769,0,-0.674652769,#DIV/0!,#N/A
SHK,1151116,لويال سائل لغسيل الايدي 500 ملم *1,112,مستودع الموقر تجاري,48,98.277,0.674652769,0,-0.674652769,#DIV/0!,#N/A
SHK,1031016,ميار شعيرية 300 غم 1*24,102,مستودع عمار عنبة,0.001,1.477,0.127940986,0.192,0.064059014,0.3336407,4
SHK,1031016,ميار شعيرية 300 غم 1*24,FGWH,مستودع البضاعة الجاهزة,93,-5.795,0.127940986,0.192,0.064059014,0.3336407,4
SHK,1031016,ميار شعيرية 300 غم 1*24,IRBID,مستودع أربد,486,59.022,0.127940986,0.192,0.064059014,0.3336407,4
SHK,1031016,ميار شعيرية 300 غم 1*24,106,مستودع يوسف أحمد,93,11.717,0.127940986,0.192,0.064059014,0.3336407,4
SHK,1031016,ميار شعيرية 300 غم 1*24,EXPWH,مستودع التوالف,197,25.551,0.127940986,0.192,0.064059014,0.3336407,4
SHK,1031016,ميار شعيرية 300 غم 1*24,108,مستودع يزن حمدان,246,32.62,0.127940986,0.192,0.064059014,0.3336407,4
SHK,1031016,ميار شعيرية 300 غم 1*24,112,مستودع الموقر تجاري,480,79.474,0.127940986,0.192,0.064059014,0.3336407,4
SHK,1091004,ميار محضر غذائي بالدسم النباتي 250 غم *24,102,مستودع عمار عنبة,0.001,3.425,0.370865807,0.55,0.179134193,0.325698533,16
SHK,1091004,ميار محضر غذائي بالدسم النباتي 250 غم *24,106,مستودع يوسف أحمد,33,12.66,0.370865807,0.55,0.179134193,0.325698533,16
SHK,1091004,ميار محضر غذائي بالدسم النباتي 250 غم *24,FGWH,مستودع البضاعة الجاهزة,22486,8310.229,0.370865807,0.55,0.179134193,0.325698533,16
SHK,1091004,ميار محضر غذائي بالدسم النباتي 250 غم *24,MOHWH,مستودع محمد البستنجي - الكرك,240,113.227,0.370865807,0.55,0.179134193,0.325698533,16
SHK,1091004,ميار محضر غذائي بالدسم النباتي 250 غم *24,IRBID,مستودع أربد,0.001,0.015,0.370865807,0.55,0.179134193,0.325698533,16
SHK,1091004,ميار محضر غذائي بالدسم النباتي 250 غم *24,EXPWH,مستودع التوالف,52,19.627,0.370865807,0.55,0.179134193,0.325698533,16
SHK,1091004,ميار محضر غذائي بالدسم النباتي 250 غم *24,108,مستودع يزن حمدان,72,27.34,0.370865807,0.55,0.179134193,0.325698533,16
SHK,1071001,شيخ الكار سردين بالفلفل الحار 125 غم 1*50,FGWH,مستودع البضاعة الجاهزة,101360,28515.438,0.2811368,0.46,0.1788632,0.388833043,0
SHK,1071001,شيخ الكار سردين بالفلفل الحار 125 غم 1*50,102,مستودع عمار عنبة,0.001,-0.94,0.2811368,0.46,0.1788632,0.388833043,0
SHK,1071001,شيخ الكار سردين بالفلفل الحار 125 غم 1*50,IRBID,مستودع أربد,223.001,62.748,0.2811368,0.46,0.1788632,0.388833043,0
SHK,1071001,شيخ الكار سردين بالفلفل الحار 125 غم 1*50,MOHWH,مستودع محمد البستنجي - الكرك,1600,431.946,0.2811368,0.46,0.1788632,0.388833043,0
SHK,1071001,شيخ الكار سردين بالفلفل الحار 125 غم 1*50,106,مستودع يوسف أحمد,138,38.79,0.2811368,0.46,0.1788632,0.388833043,0
SHK,1071001,شيخ الكار سردين بالفلفل الحار 125 غم 1*50,108,مستودع يزن حمدان,228,64.092,0.2811368,0.46,0.1788632,0.388833043,0
SHK,1071001,شيخ الكار سردين بالفلفل الحار 125 غم 1*50,112,مستودع الموقر تجاري,8774,2466.398,0.2811368,0.46,0.1788632,0.388833043,0
SHK,1071001,شيخ الكار سردين بالفلفل الحار 125 غم 1*50,EXPWH,مستودع التوالف,158,44.077,0.2811368,0.46,0.1788632,0.388833043,0
SHK,1081001,سكر 50 كعم 20*50,FGWH,مستودع البضاعة الجاهزة,4.68,1868.718,399.2987179,0,-399.2987179,#DIV/0!,#N/A
SHK,1131003,شيخ الكار ذرة حلوة 340 غم 1*24,102,مستودع عمار عنبة,0.001,0,0.372999753,0.615,0.242000247,0.393496336,16
SHK,1131003,شيخ الكار ذرة حلوة 340 غم 1*24,FGWH,مستودع البضاعة الجاهزة,2123,791.879,0.372999753,0.615,0.242000247,0.393496336,16
SHK,1131003,شيخ الكار ذرة حلوة 340 غم 1*24,EXPWH,مستودع التوالف,17,6.341,0.372999753,0.615,0.242000247,0.393496336,16
SHK,1131003,شيخ الكار ذرة حلوة 340 غم 1*24,IRBID,مستودع أربد,288,107.424,0.372999753,0.615,0.242000247,0.393496336,16
SHK,1131003,شيخ الكار ذرة حلوة 340 غم 1*24,MOHWH,مستودع محمد البستنجي - الكرك,0.001,0,0.372999753,0.615,0.242000247,0.393496336,16
SHK,1131003,شيخ الكار ذرة حلوة 340 غم 1*24,108,مستودع يزن حمدان,48,17.904,0.372999753,0.615,0.242000247,0.393496336,16
SHK,1131003,شيخ الكار ذرة حلوة 340 غم 1*24,106,مستودع يوسف أحمد,42,15.666,0.372999753,0.615,0.242000247,0.393496336,16
SHK,1131003,شيخ الكار ذرة حلوة 340 غم 1*24,112,مستودع الموقر تجاري,503,187.619,0.372999753,0.615,0.242000247,0.393496336,16
SHK,1151115,لويال سائل للجلي 2 لتر *1,FGWH,مستودع البضاعة الجاهزة,1735,2482.224,1.430676657,0,-1.430676657,#DIV/0!,#N/A
SHK,1151015,"شيخ الكار برغل 1 كغم (ناعم,خشن)",FGWH,مستودع البضاعة الجاهزة,14,7.827,0.559459918,0,-0.559459918,#DIV/0!,#N/A
SHK,1151015,"شيخ الكار برغل 1 كغم (ناعم,خشن)",112,مستودع الموقر تجاري,2930,1639.223,0.559459918,0,-0.559459918,#DIV/0!,#N/A
SHK,1151021,شيخ الكار حمص حب (نمرة 11) 1 كغم,FGWH,مستودع البضاعة الجاهزة,30,37.69,1.262352066,0,-1.262352066,#DIV/0!,#N/A
SHK,1151021,شيخ الكار حمص حب (نمرة 11) 1 كغم,112,مستودع الموقر تجاري,1785,2253.479,1.262352066,0,-1.262352066,#DIV/0!,#N/A
SHK,1151031,شيخ الكار رب البندورة 1350 غم تركيز 26 %,FGWH,مستودع البضاعة الجاهزة,56,11.2,0.2,0,-0.2,#DIV/0!,#N/A
SHK,1151082,غدير لانشون 800 غم 1*1,FGWH,مستودع البضاعة الجاهزة,984,939.689,0.958578297,0,-0.958578297,#DIV/0!,#N/A
SHK,1151082,غدير لانشون 800 غم 1*1,112,مستودع الموقر تجاري,1200,1153.846,0.958578297,0,-0.958578297,#DIV/0!,#N/A
SHK,1151099,فريشي مسحوق شراب نكهات مختلفة 750 غم 1*1,FGWH,مستودع البضاعة الجاهزة,178,1912.513,10.74445506,0,-10.74445506,#DIV/0!,#N/A
SHK,1151034,ميار طحينية 900 غم 1*1,FGWH,مستودع البضاعة الجاهزة,36,79.056,2.196,0,-2.196,#DIV/0!,#N/A
