الشركة,رقم الحساب,اسم الحساب,التاريخ,رقم السند,نوع المستند,البيان/الشرح,المبلغ
SHK,6020101015,مصاريف تحميل وتنزيل,7/2/2026,26103613,قيد يومي,عبده العتال,114
SHK,6020101008,مصاريف نقل وشحن,7/5/2026,26103616,قيد يومي,اجور ونش,220.35
SHK,6020101010,مصاريف صيانة سيارات,7/5/2026,26103617,قيد يومي,صيانة سيارة الكرك,455.35
SHK,6010101025,مصاريف هاتف,7/5/2026,26103618,قيد يومي,هاتف,7.86
SHK,6020101010,مصاريف صيانة سيارات,7/5/2026,26103620,قيد يومي,بنشر عدد 3,5
SHK,6020101017,مصاريف شحن سيارات,7/5/2026,26103620,قيد يومي,شحن سيارة - ابو العبد,3.7
SHK,6020101012,مصاريف محروقات سيارات,7/5/2026,26103620,قيد يومي,ديزل,10
SHK,6020101012,مصاريف محروقات سيارات,7/5/2026,26103620,قيد يومي,ديزل,10
SHK,6010101009,مصاريف متفرقة,7/5/2026,26103620,قيد يومي,مواقف - ابو العبد,10
SHK,6010101004,مصاريف ضيافة,7/5/2026,26103626,قيد يومي,قهوة 3 كغم,33
SHK,6020101014,خصم مسموح به,1/8/2026,26100001,قيد يومي,خصم على سند تسليم رقم 3656,6
SHK,6020101010,مصاريف صيانة سيارات,1/8/2026,26000073,قيد يومي,بنشر,2
SHK,6020101010,مصاريف صيانة سيارات,1/8/2026,26000073,قيد يومي,صيانة سيارة ابو جدوع,40
SHK,6020101012,مصاريف محروقات سيارات,1/8/2026,26000073,قيد يومي,ديزل,10
SHK,6020101015,مصاريف تحميل وتنزيل,1/8/2026,26000085,قيد يومي,رواتب اليمنين,971.892
SHK,6010101004,مصاريف ضيافة,1/10/2026,26100004,قيد يومي,ف/رقم 2026003 قهوة للمصنع,33.001
SHK,6010101018,مصاريف قرطاسية ومطبوعات,1/10/2026,26100008,قيد يومي,ف/رقم 2600026+ 2600014 طابعة + حبر,500
SHK,6010101019,مصاريف رسوم ورخص وأشتراكات,1/10/2026,26100011,قيد يومي,هيئة الترقيم,125.55
SHK,6020101010,مصاريف صيانة سيارات,1/10/2026,26100012,قيد يومي,صيانة سيارة,255.35
SHK,6020101003,مصاريف تصدير,1/10/2026,26100012,قيد يومي,منشأ,23.05
SHK,6020101003,مصاريف تصدير,1/10/2026,26100012,قيد يومي,حلال,248.5
SHK,6010101018,مصاريف قرطاسية ومطبوعات,1/10/2026,26000124,قيد يومي,بوكس فايل عريض,6
SHK,6020101008,مصاريف نقل وشحن,1/10/2026,26100014,قيد يومي,اجور تقل ماكنات من سوريا,615.35
SHK,6020101015,مصاريف تحميل وتنزيل,1/10/2026,26100014,قيد يومي,تحميل وتنزيل,20
SHK,6020101013,مصاريف بيعية,1/10/2026,26100014,قيد يومي,منسيقين,50350
SHK,6020101010,مصاريف صيانة سيارات,1/10/2026,26100014,قيد يومي,ف/رقم 758,10.35
SHK,6010101009,مصاريف متفرقة,1/10/2026,26100014,قيد يومي,متفرقات,128.899
SHK,6020101015,مصاريف تحميل وتنزيل,1/10/2026,26100014,قيد يومي,تحميل وتنزيل,50
SHK,6020101013,مصاريف بيعية,1/10/2026,26100015,قيد يومي,بيعية,100.35
SHK,6020101013,مصاريف بيعية,1/10/2026,26100015,قيد يومي,بيعية,250.35
SHK,6020101010,مصاريف صيانة سيارات,1/10/2026,26000132,قيد يومي,ف/رقم 758(Reversal) - 483,-10.35
SHK,6020101008,مصاريف نقل وشحن,1/10/2026,26000132,قيد يومي,اجور تقل ماكنات من سوريا(Reversal) - 483,-615.35
SHK,6020101015,مصاريف تحميل وتنزيل,1/10/2026,26000132,قيد يومي,تحميل وتنزيل(Reversal) - 483,-50
SHK,6020101015,مصاريف تحميل وتنزيل,1/10/2026,26000132,قيد يومي,تحميل وتنزيل(Reversal) - 483,-20
SHK,6010101009,مصاريف متفرقة,1/10/2026,26000132,قيد يومي,متفرقات(Reversal) - 483,-128.899
SHK,6020101013,مصاريف بيعية,1/10/2026,26000132,قيد يومي,منسيقين(Reversal) - 483,-50350
SHK,6020101008,مصاريف نقل وشحن,1/10/2026,26100017,قيد يومي,اجور تقل ماكنات من سوريا,615.35
SHK,6020101010,مصاريف صيانة سيارات,1/10/2026,26100017,قيد يومي,ف/رقم 758,10.35
SHK,6020101013,مصاريف بيعية,1/10/2026,26100017,قيد يومي,منسيقين,50.35
SHK,6020101015,مصاريف تحميل وتنزيل,1/10/2026,26100017,قيد يومي,تحميل وتنزيل,50
SHK,6020101015,مصاريف تحميل وتنزيل,1/10/2026,26100017,قيد يومي,تحميل وتنزيل,20
SHK,6010101009,مصاريف متفرقة,1/10/2026,26100017,قيد يومي,متفرقات,128.899
SHK,6020101008,مصاريف نقل وشحن,1/11/2026,26000134,قيد يومي,اجور نقل للعقبة,170.35
SHK,6020101010,مصاريف صيانة سيارات,1/11/2026,26100022,قيد يومي,صيانة سيارة الدكتور في السعودية,440
SHK,6010101021,مصاريف عمولات بنكية,1/8/2026,26100025,قيد يومي,عمولات,0.7
SHK,6010101020,مصاريف حكومية,1/11/2026,26100038,قيد يومي,مراقبة شركات,10.25
SHK,6020101016,مصاريف قبان,1/11/2026,26100039,قيد يومي,مصاريف قبان,2
SHK,6020101010,مصاريف صيانة سيارات,1/11/2026,26100039,قيد يومي,نفخ عجال سيارة ابو لؤي,1
SHK,6020101010,مصاريف صيانة سيارات,1/11/2026,26100040,قيد يومي,ف/343 كوشوك,77.586
SHK,6020101005,مصاريف تعبئة وتغليف,1/11/2026,26100045,قيد يومي,ف/رقم 1831,100
SHK,6010101022,مصاريف عمولات زين كاش,1/11/2026,26100045,قيد يومي,ف/رقم 1831,0.35
SHK,6020101010,مصاريف صيانة سيارات,1/11/2026,26100048,قيد يومي,شحن سيارة,3.1
SHK,6010101012,مصاريف لوازم مستهلكة,1/11/2026,26100051,قيد يومي,ف/رقم 79136,93.103
SHK,6010101012,مصاريف لوازم مستهلكة,1/11/2026,26100052,قيد يومي,ف/رقم 79294,46.552
SHK,6010101012,مصاريف لوازم مستهلكة,1/11/2026,26100054,قيد يومي,ف/رقم 79191,59.483
SHK,6010101022,مصاريف عمولات زين كاش,1/11/2026,26100055,قيد يومي,عمولا زين كاش,0.35
SHK,6010101018,مصاريف قرطاسية ومطبوعات,1/10/2026,26100056,قيد يومي,ف/رقم 2600026+ 2600014 طابعة + حبر(Reversal) - 444,-500
SHK,6020101010,مصاريف صيانة سيارات,1/10/2026,26000202,قيد يومي,صيانة سيارة(Reversal) - 472,-255.35
