ProductionOrder,OrderDate,FinishedItem,FinishedItemName,ProductionUOM,PlannedQtyFinished,TotalProductionCost,ProducedQty,TotalWasteCost,UnitProductionCost
26000001,1/12/2026,1011051,سيلك رود طحينية 650 غم 1*12,حبة,1200,1375.8,1200,0.1128,1.1465
26000002,1/12/2026,1011050,سيلك رود طحينية 1 كغم مطرة 1*12,حبة,1800,3145.941,1800,0,1.747745
26000003,1/12/2026,1011036,قاسيون طحينية 1كغم مطرة 1*12,حبة,1204,2104.32,1204,0,1.747774086
26000004,1/12/2026,1011013,الموسم طحينية 15 كغم تنك 1*1,تنكة,15,357.015,15,0,23.801
26000005,1/12/2026,1011101,الموسم طحينية 400 غم 1*12,حبة,3648,2438.688,3648,0,0.6685
26000006,1/12/2026,1011028,شيخ الكار طحينية 9 كغم تنك 1*1,تنكة,27,390.366,27,0,14.458
26000007,1/12/2026,1011052,القيسي طحينية 900 غم مطرة 1*12,حبة,120,177.87,120,0.00828,1.48225
26000008,1/7/2026,1011033,شيخ الكار طحينية 15 كغم تنك 1*1,تنكة,240,5787.12,240,0,24.113
26000011,1/13/2026,1011004,الموسم طحينية 900 غم 1*12,حبة,1200,1742.411,1200,0,1.452009167
26000021,1/7/2026,1011035,شيخ الكار طحينية 18 كغم سطل 1*1,تنكة,200,6101.2,200,0,30.506
26000022,1/10/2026,1011019,شيخ الكار طحينية 900 غم قارورة 1*12,حبة,1200,1756.7,1200,0,1.463916667
26000023,1/18/2026,1011027,شيخ الكار طحينية 18 كغم تنك 1*1,تنكة,50,1506.863,50,0,30.13726
26000024,1/7/2026,1011029,شيخ الكار طحينية 8 كغم تنك 1*1,تنكة,86,1102.48,86,0,12.81953488
26000025,1/7/2026,1011119,شيخ الكار طحينية 7 كغم تنك 1*1,حبة,413,4990.279,413,0,12.083
26000026,1/12/2026,1011088,الموسم طحينية 800 غم  1*12,حبة,960,1318.64,960,0,1.373583333
26000027,1/13/2026,1011088,الموسم طحينية 800 غم  1*12,حبة,960,1318.64,960,0,1.373583333
26000028,1/13/2026,1011020,شيخ الكار طحينية 800 غم 1*12,حبة,120,173.95,120,0,1.449583333
26000029,1/13/2026,1011028,شيخ الكار طحينية 9 كغم تنك 1*1,تنكة,720,9638.568,720,0,13.3869
26000030,1/13/2026,1011027,شيخ الكار طحينية 18 كغم تنك 1*1,تنكة,386,11429.46,386,0,29.61
26000031,1/7/2026,1011027,شيخ الكار طحينية 18 كغم تنك 1*1,تنكة,112,3316.32,112,0,29.61
26000032,1/7/2026,1011033,شيخ الكار طحينية 15 كغم تنك 1*1,تنكة,20,482.26,20,0,24.113
26000033,1/11/2026,1011028,شيخ الكار طحينية 9 كغم تنك 1*1,تنكة,240,3240.744,240,0,13.5031
