VendorCode,VendorName,PurchaseType,Amt,QYT,ItemDescription,ItemCode,ItemGroup,DocNum,Year,Month,DocType,DB,ReferenceNumber
LV0000309,مورد نقدي,Local Vendors,12.497,24,كولجيت معجون أسنان 100 ملم,1151132,Legumes & Spices,26000097,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,85.75,245,قشطة خبز كماج صغير 1 كغم,1151071,Legumes & Spices,26000010,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,8.4,21,قشطة خبز قمح أسمر(لمرضى السكري صغير),1151065,Legumes & Spices,26000010,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,7.8,6,لويال مادة تلميع الاثاث 500 ملم *1,1151129,Legumes & Spices,26000011,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,7.8,6,لويال مادة تلميع الاثاث 500 ملم *1,1151129,Legumes & Spices,26000011,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,15,6,لويال ملين ملابس 1.5 لتر *1,1151122,Legumes & Spices,26000258,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,31.188,10,شيخ الكار بيض طازج 1920 غم فأكثر 1*1,1151111,Legumes & Spices,26000063,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,269.15,96,شيخ الكار بيض طازج 1920 غم فأكثر 1*1,1151111,Legumes & Spices,26000072,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,217.35,84,شيخ الكار بيض طازج 1920 غم فأكثر 1*1,1151111,Legumes & Spices,26000077,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,17.5,10,قشطة قرشلة مطحونة ناعم أو خشن او حار 1 كغم,1151092,Legumes & Spices,26000079,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,72,45,قشطة قرشلة وكعك بأنواعه محلى او سادة 1 كغم,1151100,Legumes & Spices,26000079,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,27,150,قشطة خبز شراك,1151066,Legumes & Spices,26000079,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,268.53,583,قشطة خبز كماج كبير 1 كغم,1151069,Legumes & Spices,26000079,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,86.1,245,قشطة خبز كماج كبير 1 كغم,1151069,Legumes & Spices,26000080,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,18.029,25,قشطة قرشلة وكعك بأنواعه محلى او سادة 1 كغم,1151100,Legumes & Spices,26000080,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,8.4,21,قشطة خبز قمح أسمر(لمرضى السكري صغير),1151065,Legumes & Spices,26000080,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,22,2,شيخ الكار سمن بلدي 1 كغم,1151091,Legumes & Spices,26000084,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,4.004,1.001,شيخ الكار جوز عين الجمل مقشر 1 كغم,1151098,Legumes & Spices,26000084,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,18.029,25,قشطة قرشلة وكعك بأنواعه محلى او سادة 1 كغم,1151100,Legumes & Spices,26000094,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,8.4,21,قشطة خبز قمح أسمر(لمرضى السكري صغير),1151065,Legumes & Spices,26000094,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,85.995,245,قشطة خبز كماج صغير 1 كغم,1151071,Legumes & Spices,26000094,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,89.694,19.932,"شيخ الكار جوز هند (ناعم,خشن) 1 كغم",1151089,Legumes & Spices,26000098,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,66.667,20,شيخ الكار جميد بلدي 1 كغم,1151052,Legumes & Spices,26000100,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,217.308,84,شيخ الكار بيض طازج 1920 غم فأكثر 1*1,1151111,Legumes & Spices,26000108,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,53.609,17,شيخ الكار بيض طازج 1920 غم فأكثر 1*1,1151111,Legumes & Spices,26000119,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,1000.35,200,"شيخ الكار جوز هند (ناعم,خشن) 1 كغم",1151089,Legumes & Spices,26000120,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,18.952,48,كولجيت معجون أسنان 100 ملم,1151132,Legumes & Spices,26000488,2026,03,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,309.38,620,قشطة خبز كماج صغير 1 كغم,1151071,Legumes & Spices,26000143,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,255.657,93,شيخ الكار بيض طازج 1920 غم فأكثر 1*1,1151111,Legumes & Spices,26000143,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,8.4,21,قشطة خبز قمح أسمر(لمرضى السكري صغير),1151065,Legumes & Spices,26000150,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,18.365,25,قشطة قرشلة وكعك بأنواعه محلى او سادة 1 كغم,1151100,Legumes & Spices,26000150,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,85.75,245,قشطة خبز كماج كبير 1 كغم,1151069,Legumes & Spices,26000150,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,10.738,26,قشطة خبز حمام 1 كغم,1151070,Legumes & Spices,26000175,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,296,740,قشطة خبز كماج كبير 1 كغم,1151069,Legumes & Spices,26000175,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,18,90,قشطة خبز شراك,1151066,Legumes & Spices,26000175,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,12.803,31,قشطة خبز قمح أسمر(لمرضى السكري صغير),1151065,Legumes & Spices,26000175,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,140,40,شيخ الكار جميد بلدي 1 كغم,1151052,Legumes & Spices,26000176,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,31.5,10,شيخ الكار بيض طازج 1920 غم فأكثر 1*1,1151111,Legumes & Spices,26000183,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,13,24,كولجيت معجون أسنان 100 ملم,1151132,Legumes & Spices,26000185,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,86.207,25,"شيخ الكار جوز هند (ناعم,خشن) 1 كغم",1151089,Legumes & Spices,26000193,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,85.75,245,قشطة خبز كماج صغير 1 كغم,1151071,Legumes & Spices,26000194,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,8.4,21,قشطة خبز قمح أسمر(لمرضى السكري صغير),1151065,Legumes & Spices,26000194,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,2.4,1,لويال ملين ملابس 1.5 لتر *1,1151122,Legumes & Spices,26000230,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,86.1,245,قشطة خبز كماج صغير 1 كغم,1151071,Legumes & Spices,26000231,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,8.4,21,قشطة خبز قمح أسمر(لمرضى السكري صغير),1151065,Legumes & Spices,26000231,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,18.025,25,قشطة قرشلة وكعك بأنواعه محلى او سادة 1 كغم,1151100,Legumes & Spices,26000231,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,17.16,36,كولجيت معجون أسنان 100 ملم,1151132,Legumes & Spices,26000232,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,37.4,12,شيخ الكار بيض طازج 1920 غم فأكثر 1*1,1151111,Legumes & Spices,26000237,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,31.5,10,شيخ الكار بيض طازج 1920 غم فأكثر 1*1,1151111,Legumes & Spices,26000256,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,10,5,لويال منظف أرضيات 2.4 لتر *1,1151120,Legumes & Spices,26000257,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,94.828,20,شيخ الكار جوز عين الجمل مقشر 1 كغم,1151098,Legumes & Spices,26000275,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,232.85,90,شيخ الكار بيض طازج 1920 غم فأكثر 1*1,1151111,Legumes & Spices,26000316,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,136.364,0.1,سمسم خام,1141002,Sesame,26000141,2026,01,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,86.1,245,قشطة خبز كماج صغير 1 كغم,1151071,Legumes & Spices,26000302,2026,02,فاتورة مشتريات,الشركة التجارية,
LV0000309,مورد نقدي,Local Vendors,8.4,21,قشطة خبز قمح أسمر(لمرضى السكري صغير),1151065,Legumes & Spices,26000302,2026,02,فاتورة مشتريات,الشركة التجارية,
