ProductionOrderNo,OrderStatus,FinishedItemCode,FinishedItemName,OrderDate,TotalProducedQty,IssueDocumentNo,RawMaterialCode,RawMaterialName,ActualConsumedQty,UnitPrice,TotalMaterialCost,FromWarehouse
26000001,Closed (مغلق),1011051,سيلك رود طحينية 650 غم 1*12,1/12/2026,1200,26000001,1181091,كرتون سيلك رود طحينية 650 غم قديم,100,0.282,28.2,WIP
26000001,Closed (مغلق),1011051,سيلك رود طحينية 650 غم 1*12,1/12/2026,1200,26000001,1181211,مرتبان سيلك رود طحينية 650 غم,1200,0.083,99.6,WIP
26000001,Closed (مغلق),1011051,سيلك رود طحينية 650 غم 1*12,1/12/2026,1200,26000001,1171015,طحينية بلك شيخ الكار حجر,780,1.6,1248,WIP
26000002,Closed (مغلق),1011050,سيلك رود طحينية 1 كغم مطرة 1*12,1/12/2026,1800,26000002,1181225,مطرة سيلك رود طحينية 1 كغم,1800,0.105,189,WIP
26000002,Closed (مغلق),1011050,سيلك رود طحينية 1 كغم مطرة 1*12,1/12/2026,1800,26000002,1181007,كرتون متعدد طحينية 1 كغم مطرة,149.4,0.515,76.941,WIP
26000002,Closed (مغلق),1011050,سيلك رود طحينية 1 كغم مطرة 1*12,1/12/2026,1800,26000002,1171015,طحينية بلك شيخ الكار حجر,1800,1.6,2880,WIP
26000003,Closed (مغلق),1011036,قاسيون طحينية 1كغم مطرة 1*12,1/12/2026,1204,26000007,1181224,مطرة قاسيون طحينية 1 كغم,1204,0.105,126.42,PKGWH
26000003,Closed (مغلق),1011036,قاسيون طحينية 1كغم مطرة 1*12,1/12/2026,1204,26000007,1181007,كرتون متعدد طحينية 1 كغم مطرة,100,0.515,51.5,PKGWH
26000003,Closed (مغلق),1011036,قاسيون طحينية 1كغم مطرة 1*12,1/12/2026,1204,26000007,1171015,طحينية بلك شيخ الكار حجر,1204,1.6,1926.4,WIP
26000004,Closed (مغلق),1011013,الموسم طحينية 15 كغم تنك 1*1,1/12/2026,15,26000003,1171017,طحينية بلك ميار - موسم  كروما,214.5,1.57,336.765,WIP
26000004,Closed (مغلق),1011013,الموسم طحينية 15 كغم تنك 1*1,1/12/2026,15,26000003,1181326,تنك الموسم طحينية 15 كغم,15,1.35,20.25,WIP
26000005,Closed (مغلق),1011101,الموسم طحينية 400 غم 1*12,1/12/2026,3648,26000009,1181056,مرتبان الموسم طحينية 400 غم,3648,0.094,342.912,PKGWH
26000005,Closed (مغلق),1011101,الموسم طحينية 400 غم 1*12,1/12/2026,3648,26000009,1181411,كرتون الموسم طحينية 400 غم محلي,304,0.3,91.2,PKGWH
26000005,Closed (مغلق),1011101,الموسم طحينية 400 غم 1*12,1/12/2026,3648,26000009,1171017,طحينية بلك ميار - موسم  كروما,1276.8,1.57,2004.576,WIP
26000006,Closed (مغلق),1011028,شيخ الكار طحينية 9 كغم تنك 1*1,1/12/2026,27,26000008,1181312,تنك شيخ الكار طحينية 9 كغم -فارغ,27,1.178,31.806,PKGWH
26000006,Closed (مغلق),1011028,شيخ الكار طحينية 9 كغم تنك 1*1,1/12/2026,27,26000008,1171015,طحينية بلك شيخ الكار حجر,224.1,1.6,358.56,WIP
26000007,Closed (مغلق),1011052,القيسي طحينية 900 غم مطرة 1*12,1/12/2026,120,26000004,1181213,مطرة القيسي طحينية 900 غم,120,0.105,12.6,WIP
26000007,Closed (مغلق),1011052,القيسي طحينية 900 غم مطرة 1*12,1/12/2026,120,26000004,1181013,كرتون متعدد طحينية 900 غم مطرة,10,0.207,2.07,WIP
26000007,Closed (مغلق),1011052,القيسي طحينية 900 غم مطرة 1*12,1/12/2026,120,26000004,1171015,طحينية بلك شيخ الكار حجر,102,1.6,163.2,WIP
26000008,Closed (مغلق),1011033,شيخ الكار طحينية 15 كغم تنك 1*1,1/7/2026,240,26000005,1171015,طحينية بلك شيخ الكار حجر,3420,1.6,5472,WIP
26000008,Closed (مغلق),1011033,شيخ الكار طحينية 15 كغم تنك 1*1,1/7/2026,240,26000005,1181304,تنك شيخ الكار طحينية 15 كغم -فارغ,240,1.313,315.12,PKGWH
