CustomerCode,CustomerName,Salesperson,Amt,QYT,ItemDescription,ItemCode,ItemGroup,DocNum,Year,Month,DocType,DB,ReferenceNumber
110000265,مؤسسة ابراج عمان,الادارة,148.08,960,ميار شعيرية 300 غم 1*24,1031016,Noodles & Pasta & Soups,26101371,2026,03,فاتورة,الشركة التجارية,10621
110000096,سوبر ماركت الادهم -غور  الحديثة,محمد البستنجي,13.147,24,ميار محضر غذائي بالدسم النباتي 250 غم *24,1091004,Milk,26101516,2026,01,فاتورة,الشركة التجارية,10292
110000215,شركة سدرة لصناعة مواد التجميل,الادارة,425.25,1.05,سكر 50 كعم 20*50,1081001,Sugar,26100447,2026,01,فاتورة,الشركة التجارية,10605
110000215,شركة سدرة لصناعة مواد التجميل,الادارة,19.5,0.05,سكر 50 كعم 20*50,1081001,Sugar,26100007,2026,01,فاتورة,الشركة التجارية,10605
110000215,شركة سدرة لصناعة مواد التجميل,الادارة,2835,7,سكر 50 كعم 20*50,1081001,Sugar,26100006,2026,01,فاتورة,الشركة التجارية,10605
110000215,شركة سدرة لصناعة مواد التجميل,الادارة,810,2,سكر 50 كعم 20*50,1081001,Sugar,26100172,2026,01,فاتورة,الشركة التجارية,10605
110000215,شركة سدرة لصناعة مواد التجميل,الادارة,1640,4,سكر 50 كعم 20*50,1081001,Sugar,26100528,2026,01,فاتورة,الشركة التجارية,10605
110000215,شركة سدرة لصناعة مواد التجميل,الادارة,2050,5,سكر 50 كعم 20*50,1081001,Sugar,26100666,2026,02,فاتورة,الشركة التجارية,10605
110000215,شركة سدرة لصناعة مواد التجميل,الادارة,1640,4,سكر 50 كعم 20*50,1081001,Sugar,26100775,2026,02,فاتورة,الشركة التجارية,10605
110000215,شركة سدرة لصناعة مواد التجميل,الادارة,1640,4,سكر 50 كعم 20*50,1081001,Sugar,26100793,2026,02,فاتورة,الشركة التجارية,10605
110000215,شركة سدرة لصناعة مواد التجميل,الادارة,1230,3,سكر 50 كعم 20*50,1081001,Sugar,26100959,2026,02,فاتورة,الشركة التجارية,10605
110000050,ذمم عينات,الادارة,1.291,12,شيخ الكار شوربة 70 غم شعرية 1*12*6,1031006,Noodles & Pasta & Soups,26103551,2026,05,فاتورة,الشركة التجارية,10578
110000050,ذمم عينات,الادارة,3.013,28,شيخ الكار شوربة 80 غم فريكة 1*12*6,1031004,Noodles & Pasta & Soups,26103551,2026,05,فاتورة,الشركة التجارية,10578
110000050,ذمم عينات,الادارة,0.366,5,ميار معكرونة كوع 300 غم 1*24,1031022,Noodles & Pasta & Soups,26103552,2026,05,فاتورة,الشركة التجارية,10578
110000050,ذمم عينات,الادارة,0.22,3,ميار معكرونة بيني 300 غم 1*24,1031019,Noodles & Pasta & Soups,26103552,2026,05,فاتورة,الشركة التجارية,10578
110000050,ذمم عينات,الادارة,0.148,2,ميار شعيرية 300 غم 1*24,1031016,Noodles & Pasta & Soups,26103552,2026,05,فاتورة,الشركة التجارية,10578
110000449,أسواق حسن سلامة - المستندة,سفيان التعمري,21.943,120,ميار معكرونة كوع 300 غم 1*24,1031022,Noodles & Pasta & Soups,26100596,2026,01,فاتورة,الشركة التجارية,10219
110000449,أسواق حسن سلامة - المستندة,سفيان التعمري,21.943,120,ميار معكرونة بيني 300 غم 1*24,1031019,Noodles & Pasta & Soups,26100596,2026,01,فاتورة,الشركة التجارية,10219
110000449,أسواق حسن سلامة - المستندة,سفيان التعمري,21.943,120,ميار معكرونة سباغيتي 300 غم 1*24,1031021,Noodles & Pasta & Soups,26100596,2026,01,فاتورة,الشركة التجارية,10219
110000449,أسواق حسن سلامة - المستندة,سفيان التعمري,44.308,240,ميار شعيرية 300 غم 1*24,1031016,Noodles & Pasta & Soups,26100596,2026,01,فاتورة,الشركة التجارية,10219
110000449,أسواق حسن سلامة - المستندة,سفيان التعمري,0,96,ميار معكرونة فوسيلي 300 غم 1*24,1031020,Noodles & Pasta & Soups,26100596,2026,01,فاتورة,الشركة التجارية,10219
110000449,أسواق حسن سلامة - المستندة,سفيان التعمري,22.154,120,ميار شعيرية 300 غم 1*24,1031016,Noodles & Pasta & Soups,26101072,2026,02,فاتورة,الشركة التجارية,10219
110000449,أسواق حسن سلامة - المستندة,سفيان التعمري,43.885,240,ميار معكرونة كوع 300 غم 1*24,1031022,Noodles & Pasta & Soups,26101072,2026,02,فاتورة,الشركة التجارية,10219
110000449,أسواق حسن سلامة - المستندة,سفيان التعمري,21.943,120,ميار معكرونة فوسيلي 300 غم 1*24,1031020,Noodles & Pasta & Soups,26101072,2026,02,فاتورة,الشركة التجارية,10219
110000449,أسواق حسن سلامة - المستندة,سفيان التعمري,0,96,ميار شعيرية 300 غم 1*24,1031016,Noodles & Pasta & Soups,26101072,2026,02,فاتورة,الشركة التجارية,10219
110000449,أسواق حسن سلامة - المستندة,سفيان التعمري,21.943,120,ميار معكرونة بيني 300 غم 1*24,1031019,Noodles & Pasta & Soups,26101072,2026,02,فاتورة,الشركة التجارية,10219
110000024,البان التمام - اربد,لؤي السيد,22,44,ميار تونا 120 غم بالزيت النباتي 1*48,1071008,Tuna,26103329,2026,05,فاتورة,الشركة التجارية,10350
110000024,البان التمام - اربد,لؤي السيد,0,4,ميار تونا 120 غم بالزيت النباتي 1*48,1071008,Tuna,26103329,2026,05,فاتورة,الشركة التجارية,10350
110000024,البان التمام - اربد,لؤي السيد,0,4,ميار تونا 120 غم بالفلفل الحار 1*48,1071007,Tuna,26103329,2026,05,فاتورة,الشركة التجارية,10350
110000024,البان التمام - اربد,لؤي السيد,22,44,ميار تونا 120 غم بالفلفل الحار 1*48,1071007,Tuna,26103329,2026,05,فاتورة,الشركة التجارية,10350
110000024,البان التمام - اربد,لؤي السيد,21.16,46,شيخ الكار سردين بالزيت النباتي 125 غم 1*50,1071006,Tuna,26103329,2026,05,فاتورة,الشركة التجارية,10350
110000024,البان التمام - اربد,لؤي السيد,0,4,شيخ الكار سردين بالزيت النباتي 125 غم 1*50,1071006,Tuna,26103329,2026,05,فاتورة,الشركة التجارية,10350
110000024,البان التمام - اربد,لؤي السيد,0,4,شيخ الكار سردين بالفلفل الحار 125 غم 1*50,1071001,Tuna,26103329,2026,05,فاتورة,الشركة التجارية,10350
110000024,البان التمام - اربد,لؤي السيد,21.16,46,شيخ الكار سردين بالفلفل الحار 125 غم 1*50,1071001,Tuna,26103329,2026,05,فاتورة,الشركة التجارية,10350
110000021,البان القعقاع - أربد,لؤي السيد,13.292,72,ميار شعيرية 300 غم 1*24,1031016,Noodles & Pasta & Soups,26100419,2026,01,فاتورة,الشركة التجارية,10353
110000021,البان القعقاع - أربد,لؤي السيد,0,24,ميار معكرونة صدف كبير 300 غم 1*24,1031018,Noodles & Pasta & Soups,26100419,2026,01,فاتورة,الشركة التجارية,10353
110000021,البان القعقاع - أربد,لؤي السيد,8.777,48,ميار معكرونة كوع 300 غم 1*24,1031022,Noodles & Pasta & Soups,26100419,2026,01,فاتورة,الشركة التجارية,10353
110000021,البان القعقاع - أربد,لؤي السيد,8.777,48,ميار معكرونة بيني 300 غم 1*24,1031019,Noodles & Pasta & Soups,26100419,2026,01,فاتورة,الشركة التجارية,10353
110000021,البان القعقاع - أربد,لؤي السيد,8.777,48,ميار معكرونة سباغيتي 300 غم 1*24,1031021,Noodles & Pasta & Soups,26100419,2026,01,فاتورة,الشركة التجارية,10353
110000021,البان القعقاع - أربد,لؤي السيد,4.389,24,ميار معكرونة فوسيلي 300 غم 1*24,1031020,Noodles & Pasta & Soups,26100419,2026,01,فاتورة,الشركة التجارية,10353
110000306,بقالة لؤي جابر,سامر الدويك,0,16,شيخ الكار جميد سائل 1 كغم 1*8,1111002,Jameed,26100151,2026,01,فاتورة,الشركة التجارية,10114
110000306,بقالة لؤي جابر,سامر الدويك,310.345,1200,شيخ الكار فطر مقطع 300 غم 1*24,1131001,Sheikh Alkar - Canned food,26100151,2026,01,فاتورة,الشركة التجارية,10114
110000306,بقالة لؤي جابر,سامر الدويك,31.034,120,شيخ الكار فطر مقطع 300 غم 1*24,1131001,Sheikh Alkar - Canned food,26100151,2026,01,فاتورة,الشركة التجارية,10114
110000306,بقالة لؤي جابر,سامر الدويك,165.257,80,شيخ الكار جميد سائل 1 كغم 1*8,1111002,Jameed,26100151,2026,01,فاتورة,الشركة التجارية,10114
