G/L Acct/BP Code,Name,Local Currency - Jordanian Dinar - OB,Local Currency - Jordanian Dinar - Debit,Local Currency - Jordanian Dinar - Credit,Local Currency - Jordanian Dinar - Balance
Assets,,,,,
,,,,,
101,الموجودات المتداولة,,,,
,,,,,
10101,النقد وما في حكمه,,,,
,,,,,
1010101,الصناديق,,,,
,,,,,
1010101001,الصندوق الرئيسي,13622.345,491639.076,505403.199,-141.778
1010101002,صندوق الشيكات,,5397237.951,4973397.296,423840.655
1010101004,صندوق زين كاش,235.048,434465.038,382978.335,51721.751
1010101005,صندوق الادارة,,9585970.956,11114977.27,-1529006.314
1010101006,صندوق جهاد فقوسة,,25806.467,25808.395,-1.928
1010101010,صندوق امجد زكي,,69858.192,61739.254,8118.938
1010101011,صندوق سامر دويك,,163552.116,156355.473,7196.643
1010101013,صندوق لؤي السيد,,105956.881,108242.095,-2285.214
1010101014,صندوق سفيان التعمري,,10593.278,10593.278,
1010101016,صندوق محمد البستنجي,,56454.755,63916.255,-7461.5
1010101017,قبوضات معن ابو عمرو,,315127.018,331334.755,-16207.737
1010101018,صندوق سلفة نثرية حسام الدرابيع,40.75,40048.984,38930.215,1159.519
1010101019,صندوق يوسف أحمد,,,2174.577,-2174.577
1010101020,صندوق نايف الحلبوني,,20775.666,20775.664,0.002
1010101021,صندوق أمجد العمري,,5064.676,4347.276,717.4
1010101022,صندوق يزن حمدان,,,556.215,-556.215
1010101023,صندوق قصي عدنان ذيب,,221.04,184.2,36.84
1010101024,صندوق فاضل صوالحة,,140.64,117.2,23.44
1010101025,صندوق عمار عنبة,,360.96,421.12,-60.16
,,__________________,__________________,__________________,__________________
Total 1010101,الصناديق,13898.143,16723273.69,17802252.07,-1065080.235
,,,,,
,,__________________,__________________,__________________,__________________
Total 10101,النقد وما في حكمه,13898.143,16723273.69,17802252.07,-1065080.235
,,,,,
10102,البنوك,,,,
,,,,,
1010201,البنك الاسلامي الاردني,,,,
,,,,,
1010201001,البنك الاسلامي الاردني جبل عمان 90678,,14196671.19,13783006.04,413665.153
1010201003,البنك الاسلامي الاردني تسديد كمبيالاتا و التزامات,,456350.468,456350.468,
1010201004,البنك الاسلامي الاردني - دولار,,1660399.378,1637100.657,23298.721
,,__________________,__________________,__________________,__________________
Total 1010201,البنك الاسلامي الاردني,,16313421.04,15876457.16,436963.874
,,,,,
1010202,البنك العربي الاسلامي الدولي,,,,
,,,,,
1010202002,البنك العربي الاسلامي - ودائع تحت الطلب 25922500,,2.844,2.37,0.474
,,__________________,__________________,__________________,__________________
Total 1010202,البنك العربي الاسلامي الدولي,,2.844,2.37,0.474
,,,,,
1010203,بنك صفوة الاسلامي,,,,
,,,,,
1010203001,بنك صفوة الاسلامي - شيكات محصلة للتسديد,,2206309.233,2158735.063,47574.17
1010203002,بنك صفوة الاسلامي - جاري,,1037951.708,1016402.517,21549.191
1010203004,بنك صفوة الاسلامي -دولار,,31267.931,30817.465,450.466
1010203005,بنك صفوة الاسلامي - رواتب,,369932.802,369825.505,107.297
1010203006,بنك صفوة الاسلامي تامينات اخرى,,1620,1350,270
,,__________________,__________________,__________________,__________________
Total 1010203,بنك صفوة الاسلامي,,3647081.674,3577130.55,69951.124
,,,,,
1010204,مصرف الراجحي,,,,
,,,,,
1010204001,مصرف الراجحي - الجاري,,1354434.986,1391945.892,-37510.906
,,__________________,__________________,__________________,__________________
Total 1010204,مصرف الراجحي,,1354434.986,1391945.892,-37510.906
,,,,,
1010205,البنك الاهلي الاردني,,,,
,,,,,
1010205002,البنك الاهلي جاري,,12086.057,6000,6086.057
1010205003,بنك القاهرة عمان,,27478.143,12104.28,15373.863
,,__________________,__________________,__________________,__________________
Total 1010205,البنك الاهلي الاردني,,39564.2,18104.28,21459.92
,,,,,
,,__________________,__________________,__________________,__________________
Total 10102,البنوك,,21354504.74,20863640.25,490864.486
,,,,,
10103,الذمم المدينة,,,,
,,,,,
1010301,الذمم المدينة,,,,
,,,,,
1010301001,ذمم مدينة محلية,1294143.162,10790752.89,11251093.53,833802.52
1010301002,ذمم مدينة خارجية,,47513.635,47513.635,
1010301003,ذمم مدينة موظفين,,287037.174,261915.029,25122.145
,,__________________,__________________,__________________,__________________
Total 1010301,الذمم المدينة,1294143.162,11125303.7,11560522.2,858924.665
,,,,,
,,__________________,__________________,__________________,__________________
Total 10103,الذمم المدينة,1294143.162,11125303.7,11560522.2,858924.665
,,,,,
10104,شيكات برسم التحصيل,,,,
,,,,,
1010401,شيكات برسم التحصيل,,,,
,,,,,
1010401001,شيكات برسم التحصيل الاسلامي الاردني,,4816561.987,3893240.97,923321.017
1010401003,شيكات برسم التحصيل مصرف الراجحي,,6129539.107,5090383.048,1039156.059
1010401004,شيكات برسم التحصيل صفوة الاسلامي,,9092620.536,6960964.558,2131655.978
,,__________________,__________________,__________________,__________________
Total 1010401,شيكات برسم التحصيل,,20038721.63,15944588.58,4094133.054
,,,,,
,,__________________,__________________,__________________,__________________
Total 10104,شيكات برسم التحصيل,,20038721.63,15944588.58,4094133.054
,,,,,
10107,التأمينات المستردة,,,,
,,,,,
1010701,التأمينات المستردة - كفالات,,,,
,,,,,
1010701001,التامينات المستردة - كفالات البنك الاسلامي الاردني,,239952,200661.42,39290.58
1010701003,شيكات تامين,,831000,692500,138500
,,__________________,__________________,__________________,__________________
Total 1010701,التأمينات المستردة - كفالات,,1070952,893161.42,177790.58
,,,,,
,,__________________,__________________,__________________,__________________
Total 10107,التأمينات المستردة,,1070952,893161.42,177790.58
,,,,,
10108,مصاريف مدفوعة مقدماً,,,,
,,,,,
1010801,مصاريف مدفوعة مقدماً,,,,
,,,,,
1010801002,مرابحة مدفوع  مقدما,,530722.248,225691.535,305030.713
1010801004,مصاريف تامين سيارات مدفوع مقدم,,134.48,35,99.48
,,__________________,__________________,__________________,__________________
Total 1010801,مصاريف مدفوعة مقدماً,,530856.728,225726.535,305130.193
,,,,,
,,__________________,__________________,__________________,__________________
Total 10108,مصاريف مدفوعة مقدماً,,530856.728,225726.535,305130.193
,,,,,
10109,البضاعة,,,,
,,,,,
1010901,البضاعة أول المدة,,,,
,,,,,
1010901001,البضاعة الجاهزة (سحاب),,10642572.99,10426031.87,216541.122
1010901002,مستودع التوالف,,15162.338,260.421,14901.917
1010901003,مستودع قصي ذيب,,6465.576,6289.633,175.943
1010901004,مستودع عمار عنبة,,5189.691,5234.708,-45.017
1010901008,مستودع محمد البستنجي - الكرك,,49676.614,45777.089,3899.525
1010901009,مستودع أحمد أبو حشيش,,5834.735,5814.6,20.135
1010901011,مستودع بضاعة في البوندد,,2207723.505,1875308.257,332415.248
1010901012,مستودع أربد,,12124.773,8525.435,3599.338
1010901013,مستودع يوسف أحمد,,4466.276,3746.56,719.716
1010901014,مستودع حسن المشايخ,,342.059,342.057,0.002
1010901015,مستودع يزن حمدان,,2332.089,1831.828,500.261
1010901016,مستودع تعبئة وتغليف,,96114,48057,48057
1010901017,مستودع لوازم مستهلكة,,33787.686,16780,17007.686
1010901019,مستودع الموقر تجاري,,220583.476,102014.798,118568.678
,,__________________,__________________,__________________,__________________
Total 1010901,البضاعة أول المدة,,13302375.81,12546014.25,756361.554
,,,,,
,,__________________,__________________,__________________,__________________
Total 10109,البضاعة,,13302375.81,12546014.25,756361.554
,,,,,
10110,أطراف ذات علاقة,,,,
,,,,,
1010111,أطراف ذات علاقة,,,,
,,,,,
1010111001,شركة بهاء الدين البستنجي وشركاه - الموقر,,20081874.32,18143078.39,1938795.925
1010111002,شركة شيخ الكار لصناعة الالات,,664565.887,873340.518,-208774.631
,,__________________,__________________,__________________,__________________
Total 1010111,أطراف ذات علاقة,,20746440.21,19016418.91,1730021.294
,,,,,
,,__________________,__________________,__________________,__________________
Total 10110,أطراف ذات علاقة,,20746440.21,19016418.91,1730021.294
,,,,,
10111,حسابات تصفية المخزون,,,,
,,,,,
1011101,حسابات تصفية المخزون,,,,
,,,,,
1011101001,بضاعة مستلمة غير مفوترة,,867211.211,867141.54,69.671
1011101003,مصاريف اضافية - جمارك,,89887.94,84910.11,4977.83
,,__________________,__________________,__________________,__________________
Total 1011101,حسابات تصفية المخزون,,957099.151,952051.65,5047.501
,,,,,
,,__________________,__________________,__________________,__________________
Total 10111,حسابات تصفية المخزون,,957099.151,952051.65,5047.501
,,,,,
,,__________________,__________________,__________________,__________________
Total 101,الموجودات المتداولة,1308041.305,105849527.7,99804375.87,7353193.092
,,,,,
102,الموجودات الثابتة,,,,
,,,,,
10201,الاصول الثابتة,,,,
,,,,,
1020101,الأصول الثابتة,,,,
,,,,,
1020101001,الاراضي والمباني,,465960,388300,77660
1020101002,الالات والمعدات والماكينات,,571370.694,476142.245,95228.449
1020101003,الاثاث والديكورات والتركيبات,,213771.966,178143.305,35628.661
1020101004,السيارات,,4285550.552,3569013.71,716536.842
1020101005,الاجهزة والبرامج,,234234.132,195195.11,39039.022
1020101006,العدد والادوات,,24764.484,20637.07,4127.414
1020101007,الأجهزة الكهربائية,,58122.366,48435.305,9687.061
1020101008,أرضيات وجدران المصنع,,106898.898,89082.415,17816.483
1020101010,طابعات وأجهزة كاش فان,,2800,,2800
1020101011,طابعات,,431.033,,431.033
1020101012,اجهزة تابلت,,600,,600
1020101009,مشاريع تحت التنفيذ,,,,
,,__________________,__________________,__________________,__________________
Total 1020101009,مشاريع تحت التنفيذ,,,,
,,,,,
,,__________________,__________________,__________________,__________________
Total 1020101,الأصول الثابتة,,5964504.125,4964949.16,999554.965
,,,,,
,,__________________,__________________,__________________,__________________
Total 10201,الاصول الثابتة,,5964504.125,4964949.16,999554.965
,,,,,
10202,مجمع الاهتلاك للاصول الثابتة,,,,
,,,,,
1020201,مجمع الاهتلاك للاصول الثابتة,,,,
,,,,,
1020201001,مجمع أهتلاك الالات والمعدات والماكينات,,,14394.298,-14394.298
1020201002,مجمع أهتلاك الاثاث والديكورات والتركيبات,,,2044.545,-2044.545
1020201003,مجمع أهتلاك السيارات,,,594618.312,-594618.312
1020201004,مجمع أهتلاك الاجهزة والبرامج,,,30895.275,-30895.275
1020201005,مجمع أهتلاك العدد والادوات,,,10.104,-10.104
1020201006,مجمع أهتلاك الأجهزة الكهربائية,,,7664.769,-7664.769
1020201007,مجمع أهتلاك أرضيات وجدران المصنع,,,33540.325,-33540.325
,,__________________,__________________,__________________,__________________
Total 1020201,مجمع الاهتلاك للاصول الثابتة,,,683167.628,-683167.628
,,,,,
,,__________________,__________________,__________________,__________________
Total 10202,مجمع الاهتلاك للاصول الثابتة,,,683167.628,-683167.628
,,,,,
10203,مشاريع تحت التنفيذ,,,,
,,,,,
1020301,مشاريع تحت التنفيذ,,,,
,,,,,
1020301004,مشاريع تحت التنفيذ -راكان العبسي,,15404.4,12837,2567.4
1020301005,مشاريع تحت التنفيذ- السعودية,,112267,90851,21416
,,__________________,__________________,__________________,__________________
Total 1020301,مشاريع تحت التنفيذ,,127671.4,103688,23983.4
,,,,,
,,__________________,__________________,__________________,__________________
Total 10203,مشاريع تحت التنفيذ,,127671.4,103688,23983.4
