G/L Acct/BP Code,Name,Local Currency - Jordanian Dinar - OB,Local Currency - Jordanian Dinar - Debit,Local Currency - Jordanian Dinar - Credit,Local Currency - Jordanian Dinar - Balance
Assets,,,,,
,,,,,
101,الموجودات الثابتة,,,,
,,,,,
10101,الموجودات الثابتة,,,,
,,,,,
1010101,الموجودات الثابتة,,,,
,,,,,
1010101001,الاراضي,876199.682,,,876199.682
1010101002,الالات والمعدات والماكينات,2393957.098,1425.09,,2395382.188
1010101003,تركيبات و ديكورات المصنع,62091.723,,,62091.723
1010101004,الأجهزة الكهربائية,57965.371,,,57965.371
1010101005,أجهزة الكمبيوتر والبرامج,36132.513,,,36132.513
1010101006,عدد و ادوات صناعية,87451.531,,,87451.531
1010101013,المباني,2222943,,,2222943
1010101007,مجمع أهتلاك الالات والمعدات والماكينات,-1465262.592,,,-1465262.592
1010101008,مجمع أهتلاك تركيبات و ديكورات المصنع,-51510.93,,,-51510.93
1010101009,مجمع أهتلاك الأجهزة الكهربائية,-24695.888,,,-24695.888
1010101010,مجمع أهتلاك أجهزة الكمبيوتر والبرامج,-12670.992,,,-12670.992
1010101011,مجمع أهتلاك عدد و ادوات صناعية,-85401.007,,,-85401.007
1010101012,مجمع أهتلاك لاراضي,-215346.648,,,-215346.648
,,__________________,__________________,__________________,__________________
Total 1010101,الموجودات الثابتة,3881852.861,1425.09,,3883277.951
,,,,,
1010102,مشاريع تحت التنفيذ,,,,
,,,,,
1010102001,مشاريع تحت التنفيذ,,8827.75,,8827.75
,,__________________,__________________,__________________,__________________
Total 1010102,مشاريع تحت التنفيذ,,8827.75,,8827.75
,,,,,
,,__________________,__________________,__________________,__________________
Total 10101,الموجودات الثابتة,3881852.861,10252.84,,3892105.701
,,,,,
,,__________________,__________________,__________________,__________________
Total 101,الموجودات الثابتة,3881852.861,10252.84,,3892105.701
,,,,,
102,الموجودات المتداولة,,,,
,,,,,
10201,النقد وما في حكمه,,,,
,,,,,
1020101,الصناديق,,,,
,,,,,
1020101001,الصندوق الرئيسي,,218602.366,218073.36,529.006
1020101002,صندوق الادارة,,81281.54,74087.836,7193.704
1020101004,صندوق أمجد زكي,,65273.373,63199.566,2073.807
1020101005,صندوق سامر دويك,,79866.144,76725.126,3141.018
1020101009,صندوق سفيان التعمري,,,,
,,__________________,__________________,__________________,__________________
Total 1020101009,صندوق سفيان التعمري,,,,
,,,,,
1020101010,صندوق لؤي السيد,,52701.248,45638.194,7063.054
1020101011,صندوق الشيكات,,622695.307,452266.154,170429.153
1020101012,صندوق سفيان التعمري,,26015.611,26256.571,-240.96
1020101014,صندوق محمد البستنجي,50,46561.178,42086.928,4524.25
1020101015,صندوق جهاد فقوسة,,39579.195,31376.733,8202.462
1020101016,صندوق قبوضات معن ابو عمرو,,111422.421,91477.007,19945.414
1020101017,صندوق زين كاش,,72889.812,119092.565,-46202.753
1020101020,صندوق نايف الحلبوني,,9326.238,9326.238,
1020101021,صندوق أمجد العمري,,7457.553,6337.897,1119.656
1020101022,صندوق يزن حمدان,,,535.433,-535.433
1020101023,صندوق عمار عنبة,76.069,,,76.069
1020101024,صندوق قصي ذيب,41.068,,,41.068
,,__________________,__________________,__________________,__________________
Total 1020101,الصناديق,167.137,1433671.986,1256479.608,177359.515
,,,,,
1020102,البنوك,,,,
,,,,,
1020102002,البنك الاهلي الاردني,0.295,25,,25.295
1020102004,بنك الاتحاد,3.98,20025,15000,5028.98
1020102005,بنك القاهرة عمان,550.835,1450,2000,0.835
1020102006,البنك الاسلامي الاردني - جبل عمان,,198789.189,208437.589,-9648.4
1020102009,بنك صفوة الاسلامي - رواتب,,70017.37,70017.37,
1020102010,بنك صفوة الاسلامي يورو,,126552.514,126552.511,0.003
,,__________________,__________________,__________________,__________________
Total 1020102,البنوك,555.11,416859.073,422007.47,-4593.287
,,,,,
,,__________________,__________________,__________________,__________________
Total 10201,النقد وما في حكمه,722.247,1850531.059,1678487.078,172766.228
,,,,,
10202,ذمم المدينة,,,,
,,,,,
1020201,الذمم المدينة,,,,
,,,,,
1020201001,ذمم مدينة محلية,423267.628,4058231.137,3719141.179,762357.586
1020201002,ذمم مدينة خارجية,253008.417,564174.659,586004.784,231178.292
,,__________________,__________________,__________________,__________________
Total 1020201,الذمم المدينة,676276.045,4622405.796,4305145.963,993535.878
,,,,,
,,__________________,__________________,__________________,__________________
Total 10202,ذمم المدينة,676276.045,4622405.796,4305145.963,993535.878
,,,,,
10203,ذمم مدينة أخرى,,,,
,,,,,
1020301,ذمم الموظفين,,,,
,,,,,
1020301001,ذمم الموظفين,-12598.122,144586.106,117931.948,14056.036
,,__________________,__________________,__________________,__________________
Total 1020301,ذمم الموظفين,-12598.122,144586.106,117931.948,14056.036
,,,,,
,,__________________,__________________,__________________,__________________
Total 10203,ذمم مدينة أخرى,-12598.122,144586.106,117931.948,14056.036
,,,,,
10204,شيكات برسم التحصيل,,,,
,,,,,
1020401,شيكات برسم التحصيل,,,,
,,,,,
1020401001,شيكات برسم التحصيل راجحي,,57317.596,57317.596,
1020401002,شيكات برسم التحصيل الاسلامي,,23367.799,23367.799,
1020401003,شيكات برسم التحصيل صفوة,,6574.21,6574.21,
,,__________________,__________________,__________________,__________________
Total 1020401,شيكات برسم التحصيل,,87259.605,87259.605,
,,,,,
,,__________________,__________________,__________________,__________________
Total 10204,شيكات برسم التحصيل,,87259.605,87259.605,
,,,,,
10205,المستودعات,,,,
,,,,,
1020501,المستودعات,,,,
,,,,,
1020501001,مستودع المواد الاولية,2496788.009,2152245205,2152611738,2130255.062
1020501002,مستودع التعبئة والتغليف,281957.939,1786470.344,1772154.614,296273.669
1020501003,مستودع البضاعة الجاهز - الموقر,65518.577,11236793.72,10974377.08,327935.225
1020501004,مستودع سحاب,111283.031,11197628.52,11257291.7,51619.851
1020501019,مستودع لوازم مستهلكة,11170,8,,11178
1020501005,مستودع التوالف,,12838.978,9221.709,3617.269
1020501008,مستودع أحمد أبو حشيش,,4323.971,4225.958,98.013
1020501010,مستودع تحت التشغيل,64261.997,24099195.83,24435453.93,-271996.101
1020501011,مستودع محمد البستنجي-الكرك,7687.447,52933.799,54849.011,5772.235
1020501012,مستودع قصي ذيب,,6759.951,6751.634,8.317
1020501013,مستودع عمار عنبة,,2507.624,2497.266,10.358
1020501014,مستودع أربد,,10152.121,7427.167,2724.954
1020501015,مستودع يوسف أحمد -كاش,,5435.918,4682.405,753.513
1020501016,مستودع حسن المشايخ -كاش,,1002.936,993.712,9.224
1020501017,مستودع يزن حمدان -كاش,,1170.669,841.432,329.237
1020501018,مستودع بضاعة في البوندد,217330.894,,,217330.894
1020501020,مستودع تعبئة وتغليف ليبل,65245,,,65245
1020501022,مستودع عبدالله البستنجي موقر,,227198.417,150518.138,76680.279
,,__________________,__________________,__________________,__________________
Total 1020501,المستودعات,3321242.894,2200889626,2201293024,2917844.999
,,,,,
,,__________________,__________________,__________________,__________________
Total 10205,المستودعات,3321242.894,2200889626,2201293024,2917844.999
,,,,,
10206,مصاريف مدفوعة مقدما,,,,
,,,,,
1020601,مصاريف مدفوعة مقدما,,,,
,,,,,
1020601002,مرابحة مدفوع  مقدما,19491.472,,,19491.472
,,__________________,__________________,__________________,__________________
Total 1020601,مصاريف مدفوعة مقدما,19491.472,,,19491.472
,,,,,
,,__________________,__________________,__________________,__________________
Total 10206,مصاريف مدفوعة مقدما,19491.472,,,19491.472
,,,,,
10207,أطراف ذات علاقة,,,,
,,,,,
1020701,أطراف ذات علاقة,,,,
,,,,,
1020701001,شركة بهاء الدين البستنجي وشركاه - تجاري,-2896501.79,2907051.5,1953843.614,-1943293.904
,,__________________,__________________,__________________,__________________
Total 1020701,أطراف ذات علاقة,-2896501.79,2907051.5,1953843.614,-1943293.904
,,,,,
,,__________________,__________________,__________________,__________________
Total 10207,أطراف ذات علاقة,-2896501.79,2907051.5,1953843.614,-1943293.904
,,,,,
10208,تأمينات كفالات,,,,
,,,,,
1020801,تأمينات كفالات,,,,
,,__________________,__________________,__________________,__________________
Total 1020801,تأمينات كفالات,,,,
,,,,,
,,__________________,__________________,__________________,__________________
Total 10208,تأمينات كفالات,,,,
,,,,,
10209,حسابات تصفية المخزون,,,,
,,,,,
1020901,حسابات تصفية المخزون,,,,
,,,,,
1020901001,بضاعة مستلمة غير مفوترة,,22066739.79,22282531.22,-215791.43
1020901003,مصاريف جمارك - اضافية,,74240.66,77461,-3220.34
,,__________________,__________________,__________________,__________________
Total 1020901,حسابات تصفية المخزون,,22140980.45,22359992.22,-219011.77
,,__________________,__________________,__________________,__________________
Total 10209,حسابات تصفية المخزون,,22140980.45,22359992.22,-219011.77
,,__________________,__________________,__________________,__________________
Total 102,الموجودات المتداولة,1108632.746,2232642441,2231795685,1955388.939
,,__________________,__________________,__________________,__________________
Total Assets,,4990485.607,2232652694,2231795685,5847494.64
,,,,,
Liabilities,,,,,
,,,,,
201,المطلوبات المتداولة,,,,
,,,,,
20101,الذمم الدائنة,,,,
,,,,,
2010101,الذمم الدائنة,,,,
,,,,,
2010101001,ذمم الموردين محلية,375252.946,1297849.72,1775807.359,-102704.693
2010101002,ذمم موردين خارجيين,189667.859,2450167299,2450570164,-213196.576
,,__________________,__________________,__________________,__________________
Total 2010101,الذمم الدائنة,564920.805,2451465149,2452345971,-315901.269
,,,,,
,,__________________,__________________,__________________,__________________
Total 20101,الذمم الدائنة,564920.805,2451465149,2452345971,-315901.269
,,,,,
20102,ذمم دائنة أخرى,,,,
,,,,,
2010201,امانات ضريبة المبيعات,,,,
,,,,,
2010201001,امانات ضريبة المبيعات,-48274.396,133082.978,150206.786,-65398.204
2010201009,امانات  الضمان الاجتماعي,-3398.246,52475.19,27501.417,21575.527
2010201010,امانات ضريبة الدخل,,10388.298,,10388.298
2010201012,امانات المساهمة الوطنية,-2452,2452,,
2010201013,مخصص امانات ضريبة الدخل,-12261,12399.032,,138.032
,,__________________,__________________,__________________,__________________
Total 2010201,امانات ضريبة المبيعات,-66385.642,210797.498,177708.203,-33296.347
,,,,,
,,__________________,__________________,__________________,__________________
Total 20102,ذمم دائنة أخرى,-66385.642,210797.498,177708.203,-33296.347
,,,,,
20103,شيكات صادرة اجلة,,,,
,,,,,
2010301,شيكات صادرة اجلة,,,,
,,,,,
201030004,شيكات مؤجلة الدفع,,310443.326,517359.788,-206916.462
,,__________________,__________________,__________________,__________________
Total 2010301,شيكات صادرة اجلة,,310443.326,517359.788,-206916.462
,,,,,
,,__________________,__________________,__________________,__________________
Total 20103,شيكات صادرة اجلة,,310443.326,517359.788,-206916.462
,,,,,
20104,مصاريف مستحقة الدفع,,,,
,,,,,
2010401,مصاريف مستحقة الدفع,,,,
,,,,,
2010401001,مصاريف كهرباء مستحقة الدفع,-7707.928,29095.7,21387.772,
2010401002,مصاريف مستحقة الدفع,-2000,,26,-2026
,,__________________,__________________,__________________,__________________
Total 2010401,مصاريف مستحقة الدفع,-9707.928,29095.7,21413.772,-2026
,,,,,
,,__________________,__________________,__________________,__________________
